"State","District","Women.Age.Group.15.To.49.Years.Who.Are.Anaemic","Women.Suffering.From.High.Blood.Sugar.Level","Children.Age.Group.6.To.59.Months.Who.Are.Anaemic","Women.With.Body.Mass.Index..Bmi..Below.Normal","Prevalence.Of.Symptoms.Of.Acute.Respiratory.Infection..Ari..In.The.2.Weeks.Preceding.The.Survey","Women.Age.Group.15.To.19.Years.Who.Were.Already.Mothers.Or.Pregnant.At.The.Time.Of.The.Survey","Women.Mildly.Elevated.Blood.Pressure","Women.Moderately.Or.Severely.Elevated.Blood.Pressure","Children.Under.5.Years.Who.Are.Severely.Wasted..Weight.For.Height","Children.Age.Group.12.To.23.Months.Who.Have.Received.Bacillus.Calmette.Guerin..Bcg","Female.Population.Age.6.Years.And.Above.Who.Ever.Attended.School"
"Andaman And Nicobar Islands","Nicobars",38.3,7.4,37.7,8.2,1.8,1.8,23.2,8.5,7.8,80.4,78
"Andaman And Nicobar Islands","North And Middle Andaman",62.1,7.2,30.4,8.6,7,3.8,18.4,4,8.3,0,82.7
"Andaman And Nicobar Islands","South Andamans",57.7,7.5,43.4,10,0,2.8,12.7,4.9,3.5,100,84.7
"Andhra Pradesh","Ananthapuramu",50.5,5.4,55.8,21.9,2.6,13.6,12.4,8.5,4,95.7,59.5
"Andhra Pradesh","Chittoor",51.8,6.9,54.9,20.1,3.1,19.7,10.7,5.4,6.3,97.2,65.6
"Andhra Pradesh","East Godavari",63,7.5,66.8,10.2,2.2,6.2,13,6.6,3.8,92.7,75.4
"Andhra Pradesh","Guntur",59.5,7.8,59.3,9.6,1,20.7,14.7,5.9,8.1,97.6,64.9
"Andhra Pradesh","Krishna",60.3,7.9,65.7,10.5,2.4,9.6,13.4,4.3,5.2,93.9,74
"Andhra Pradesh","Kurnool",58.6,6.9,70.8,20.6,4.2,12.4,18.3,5.1,6,95.9,55.2
"Andhra Pradesh","Prakasam",60.4,7.9,62.6,14.4,2.9,16.4,14.6,6.4,3.3,89.3,58.1
"Andhra Pradesh","Sri Potti Sriramulu Nellore",59.4,8.2,67.5,15.2,3.9,14.9,12.7,4.5,6.9,89.2,67.9
"Andhra Pradesh","Srikakulam",62.6,8.2,59.6,13.8,1.3,5.5,12.8,5.9,7.4,93.3,60
"Andhra Pradesh","Visakhapatnam",58,6.1,72.6,17.4,2,9.5,12.1,5.9,11.2,97.9,66.8
"Andhra Pradesh","Vizianagaram",64,6.2,66.7,16.9,1.4,12.7,12.9,6.6,8.3,100,56
"Andhra Pradesh","West Godavari",63,7.3,62.3,10.1,1,13.4,14.7,6.1,4.7,94.8,75.4
