"State","District","Women_Anaemic_15_49","Children_Anaemic_6_59_Months","Women_High_Blood_Sugar","Teen_Mothers_15_19","Women_BMI_Below_Normal","Children_Underweight_U5","Women_Consume_Alcohol_15Plus","Female_Ever_Attended_School_6Plus","Married_Women_Using_Pill_15_49"
"Andaman And Nicobar Islands","Nicobars",38.3,37.7,7.4,1.8,8.2,24.6,29.6,78,2
"Andaman And Nicobar Islands","North And Middle Andaman",62.1,30.4,7.2,3.8,8.6,42.8,5.1,82.7,7.8
"Andaman And Nicobar Islands","South Andamans",57.7,43.4,7.5,2.8,10,17.4,1.7,84.7,1.8
"Andhra Pradesh","Ananthapuramu",50.5,55.8,5.4,13.6,21.9,40.6,0.6,59.5,0
"Andhra Pradesh","Chittoor",51.8,54.9,6.9,19.7,20.1,27.9,0.4,65.6,0
"Andhra Pradesh","East Godavari",63,66.8,7.5,6.2,10.2,22.4,0.7,75.4,0.3
"Andhra Pradesh","Guntur",59.5,59.3,7.8,20.7,9.6,26.9,0.2,64.9,0
"Andhra Pradesh","Krishna",60.3,65.7,7.9,9.6,10.5,21.1,0.4,74,0
"Andhra Pradesh","Kurnool",58.6,70.8,6.9,12.4,20.6,46.3,0.4,55.2,0.2
"Andhra Pradesh","Prakasam",60.4,62.6,7.9,16.4,14.4,24.7,0.3,58.1,0
"Andhra Pradesh","Sri Potti Sriramulu Nellore",59.4,67.5,8.2,14.9,15.2,27.8,0.3,67.9,0
"Andhra Pradesh","Srikakulam",62.6,59.6,8.2,5.5,13.8,21.4,0.6,60,0
"Andhra Pradesh","Visakhapatnam",58,72.6,6.1,9.5,17.4,33.5,1.3,66.8,0
"Andhra Pradesh","Vizianagaram",64,66.7,6.2,12.7,16.9,32.2,0.8,56,0
"Andhra Pradesh","West Godavari",63,62.3,7.3,13.4,10.1,22.5,0.2,75.4,0.4
"Andhra Pradesh","Y.S.R.",56.1,60.6,8.4,10.9,15.9,26.7,0.2,61.9,0
"Arunachal Pradesh","Changlang",57.2,65.3,5.6,9,10.5,25,30,74.6,27.5
"Arunachal Pradesh","Longding",34.1,38.4,5.3,2.2,4,13.8,21.8,63.2,16
"Arunachal Pradesh","Lower Dibang Valley",34.6,51.5,4.6,1.6,4.1,9.7,20.3,76.8,3.9
"Arunachal Pradesh","Namsai",58.6,59.2,5.6,11.3,12.8,17.7,28.4,72.1,24.6
"Arunachal Pradesh","Papum Pare",38.4,53.4,4.8,6,5.3,15.6,16.1,77.6,10.6
"Arunachal Pradesh","Tirap",32,48.4,4.6,4,5.5,16,16.4,69,17.6
"Arunachal Pradesh","Upper Subansiri",36.7,60.4,3.6,13.2,2.8,19.2,42.8,61.4,14.5
